Nom,Date,Température,Pression au niveau mer,Humidité
TOULOUSE-BLAGNAC,2018-02-06,293.87500000000006,101722.5,70.875
LE RAIZET AERO,2018-02-06,300.3625,101578.75,76.375
MONT-DE-MARSAN,2018-02-06,293.825,101760.0,71.75
BASTIA,2018-02-06,294.325,101868.75,81.125
BOURGES,2018-03-06,293.34999999999997,101508.75,72.375
MONT-DE-MARSAN,2018-03-06,291.54999999999995,101373.75,87.875
RENNES-ST JACQUES,2018-03-06,293.76250000000005,101546.25,73.875
DIJON-LONGVIC,2018-03-06,293.83750000000003,101533.75,75.375
LILLE-LESQUIN,2018-03-06,291.9,101823.75,74.125
EMBRUN,2018-03-06,289.21250000000003,,74.75
AJACCIO,2018-03-06,294.6375,101557.5,70.5
MONTELIMAR,2018-03-06,293.1875,101581.25,80.25
AJACCIO,2018-04-06,293.4625,101285.0,78.5
ORLY,2018-04-06,294.3875,101136.25,75.25
TOURS,2018-04-06,292.5875,101106.25,81.5
EMBRUN,2018-04-06,288.525,,83.875
LE RAIZET AERO,2018-04-06,299.89285714285717,101780.0,73.85714285714286
POITIERS-BIARD,2018-04-06,291.32499999999993,101123.75,86.5
CLERMONT-FD,2018-04-06,291.7,101077.5,80.375
AJACCIO,2018-05-18,290.125,101572.5,76.5
CAEN-CARPIQUET,2018-05-18,283.40000000000003,102481.25,76.625
ALENCON,2018-05-18,284.7625,102330.0,70.0
BELLE ILE-LE TALUT,2018-05-18,287.65000000000003,102245.0,73.75
BORDEAUX-MERIGNAC,2018-05-18,291.9875,101860.0,65.125
NICE,2018-05-18,291.59999999999997,101615.0,71.5
LE RAIZET AERO,2018-05-18,299.5125,101536.25,71.25
EUROPA,2018-05-18,298.70000000000005,101572.5,66.375
MONT-DE-MARSAN,2018-05-18,289.85,101863.75,85.875
MONTELIMAR,2018-05-19,292.1625,101570.0,57.5
NANTES-BOUGUENAIS,2018-05-19,288.6875,102082.5,58.25
BALE-MULHOUSE,2018-05-19,287.5125,101867.5,75.125
LYON-ST EXUPERY,2018-05-19,289.975,101702.5,60.375
EMBRUN,2018-05-19,286.675,,74.5
CAEN-CARPIQUET,2018-05-19,283.6,102367.5,83.875
REIMS-PRUNAY,2018-05-19,285.8,102130.0,71.75
RENNES-ST JACQUES,2018-05-19,286.76250000000005,102216.25,65.875
BORDEAUX-MERIGNAC,2018-05-19,291.325,101816.25,59.625
PERPIGNAN,2018-05-19,293.42499999999995,101605.0,62.0
BOURGES,2018-05-19,288.5125,101961.25,56.125
NICE,2018-05-19,293.15,101528.75,64.5
EUROPA,2018-05-19,298.5875,101603.75,70.875
PLOUMANAC'H,2018-05-20,284.28749999999997,102046.25,91.125
ALENCON,2018-05-20,287.26250000000005,101960.0,72.375
CLERMONT-FD,2018-05-20,288.75,101608.75,67.375
GOURDON,2018-05-20,289.23749999999995,101528.75,74.875
LILLE-LESQUIN,2018-05-20,288.0,102142.5,71.5
STRASBOURG-ENTZHEIM,2018-05-20,288.4125,101856.25,79.375
NANTES-BOUGUENAIS,2018-05-20,289.675,101813.75,58.625
PTE DE LA HAGUE,2018-05-20,284.625,102136.25,89.5
CAEN-CARPIQUET,2018-05-15,286.7,101986.25,73.5
ROUEN-BOOS,2018-05-15,286.0,101810.0,83.625
REIMS-PRUNAY,2018-05-16,288.28749999999997,101681.25,81.5
PTE DE CHASSIRON,2018-05-16,287.07500000000005,101965.0,85.0
PLOUMANAC'H,2018-05-16,285.7125,102316.25,89.5
CLERMONT-FD,2018-05-16,287.70000000000005,101675.0,82.125
STRASBOURG-ENTZHEIM,2018-05-16,287.22499999999997,101475.0,84.5
ST GIRONS,2018-05-16,285.625,102061.25,82.5
DIJON-LONGVIC,2018-05-16,287.5125,101605.0,87.125
BALE-MULHOUSE,2018-05-16,285.40000000000003,101551.25,90.5
MONT-DE-MARSAN,2018-05-16,287.7,102076.25,79.25
TOURS,2018-05-16,289.49999999999994,101827.5,70.0
EMBRUN,2018-05-16,286.1875,,63.125
NANTES-BOUGUENAIS,2018-05-17,287.5625,102138.75,74.25
LYON-ST EXUPERY,2018-05-17,287.2375,101746.25,79.5
PERPIGNAN,2018-05-17,292.7125,101605.0,59.25
EMBRUN,2018-05-17,286.575,,62.0
BASTIA,2018-05-17,289.7125,101523.75,82.875
BOURGES,2018-05-17,286.825,102082.5,81.625
GLORIEUSES,2018-05-17,299.91249999999997,101235.0,80.625
TOURS,2018-05-17,286.8375,102173.75,76.75
ST-PIERRE,2018-05-17,276.59999999999997,101945.0,82.625
ORLY,2018-05-17,287.0375,102242.5,64.875
GOURDON,2018-05-17,288.925,101790.0,77.5
NICE,2018-05-17,289.825,101551.25,73.625
EMBRUN,2018-05-18,288.125,,59.75
CAP CEPET,2018-05-18,290.29285714285714,101598.57142857143,81.14285714285714
TROMELIN,2018-05-18,299.84999999999997,101275.71428571429,75.14285714285714
TROMELIN,2018-05-20,299.5125,101358.75,73.625
ST-PIERRE,2018-07-20,288.9,102045.0,81.625
PLOUMANAC'H,2018-07-20,290.5375,101691.25,75.375
BALE-MULHOUSE,2018-07-20,295.80000000000007,101275.0,63.25
MILLAU,2018-07-20,293.8625,101297.5,74.875
LIMOGES-BELLEGARDE,2018-07-20,293.125,101481.25,70.0
MONTPELLIER,2018-07-20,297.25,101255.0,72.625
AJACCIO,2018-07-20,297.50000000000006,101402.5,69.875
PTE DE CHASSIRON,2018-07-21,292.01250000000005,101621.25,83.0
PERPIGNAN,2018-07-21,295.8625,101428.75,57.5
